id,package,domain,job_family,tier,V,R,wave,raters,recommendation,S1,S2,S3,U1,U2,U3,Q1,Q2,Q3,Q4,R1,R2,R3,H1,H2,G1,G2,G3,G4,capabilities,experts,evidence_level,confidence,one_liner
"legal/product-legal/launch-review","anthropics/claude-for-legal","legal","上线审查","A","84.4","60.0","W2","1","rewrite","5","4","4","4","4","4","5","5","5","1","3","3","3","3","5","pass","pass","pass","pass","upload profile artifact web connector:pm connector:docs","legal product engineering","E3","high","按八类框架与公司风险校准审查 PRD，输出特权审查备忘与可贴到工单的去特权行动项，并联动隐私/AI 治理分诊"
"kwp/small-business/proposal-builder","anthropics/knowledge-work-plugins","sales","提案报价","A","82.2","84.0","W1","1","rewrite","4","4","3","3","5","4","5","5","5","1","5","3","4","5","5","pass","pass","pass","pass","upload office_gen artifact profile connector:transcript connector:docs connector:other","sales ops","E2","med","把会议转录/笔记/照片/RFP 转成基于历史报价与自有模板的方案报价书，私下提示风险并经批准送签"
"legal/commercial-legal/vendor-agreement-review","anthropics/claude-for-legal","legal","合同审阅","A","82.0","60.0","W2","1","rewrite","4","4","3","4","5","4","5","5","5","1","3","3","3","3","5","pass","pass","pass","pass","upload profile artifact office_gen web connector:other","legal ops","E2","high","逐条对照团队 playbook 审阅供应商合同，给出严重度、可直接粘贴的修订文本与审批路由"
"legal/corporate-legal/tabular-review","anthropics/claude-for-legal","legal","批量抽取","A","81.0","88.0","W1","1","rewrite","4","3","5","3","5","4","4","5","5","2","5","3","5","3","5","pass","pass","pass","pass","upload subagent office_gen artifact python connector:docs connector:other","legal finance research","E3","high","对一批文件按类型化列 schema 做表格化审阅：一文一行、每格附逐字引文与位置，先抽样再并行扇出"
"kwp/sales/call-summary","anthropics/knowledge-work-plugins","sales","会议纪要","A","80.4","84.0","W1","1","rewrite","5","3","4","5","3","3","4","5","5","1","5","3","4","5","5","pass","pass","pass","pass","upload artifact connector:transcript connector:crm connector:email connector:chat profile","sales support","E2","med","把通话转录或笔记转为客户跟进邮件草稿、内部团队摘要与带引用的 CRM 更新提议"
"legal/regulatory-legal/policy-diff","anthropics/claude-for-legal","legal","合规检查","A","79.8","64.0","W2","1","rewrite","4","4","4","3","4","4","5","5","5","1","3","3","4","3","5","pass","pass","pass","pass","upload profile connector:docs web","legal ops","E2","high","将新规逐条拆解为要求并与内部政策库比对，输出每条的缺口类型、修改建议与负责人"
"legal/ai-governance-legal/use-case-triage","anthropics/claude-for-legal","legal","AI 用例分诊","A","79.6","64.0","W2","1","rewrite","4","5","4","4","3","4","4","5","5","1","3","3","4","3","5","pass","pass","pass","pass","profile artifact web","legal product engineering exec","E2","high","对照公司 AI 用例台账与红线把""能不能用 AI 做 X""分为批准/有条件/不批准，列出前置条件、审批路径并建议台账更新"
"legal/ai-governance-legal/aia-generation","anthropics/claude-for-legal","legal","AI 影响评估","A","79.0","60.0","W2","1","rewrite","5","4","4","2","4","3","5","5","5","1","3","3","3","3","5","pass","pass","pass","pass","profile upload artifact web","legal product engineering","E2","high","为 AI 系统/用例做影响评估：判断是否需要、快慢轨道、结构化访谈、逐监管体系分类、政策差异与带责任人的部署条件"
"mkt/customer-research","coreyhaines31/marketingskills","research","客户研究","A","79.0","80.0","W1","1","rewrite","4","4","5","3","4","4","4","4","4","3","5","3","3","4","4","pass","pass","pass","pass","upload web artifact profile connector:transcript connector:crm","research product marketing","E2","high","分析访谈转录/调研/工单与线上评论，按置信度综合主题、原话库与基于证据的画像"
"kwp/small-business/inbox-manager","anthropics/knowledge-work-plugins","ops","邮件分诊","A","77.8","74.0","W1","1","rewrite","4","4","4","5","3","3","3","5","5","1","4","3","4","5","5","pass","pass","pass","pass","upload artifact connector:email connector:chat profile","ops exec sales","E2","med","把收件箱分为需你处理/已起草/已处理三类，按后果排序，起草回复、提取承诺并把账单线索移交对应技能"
"askills/doc-coauthoring","anthropics/skills","ops","文档协作","A","77.8","94.0","W1","1","rewrite","4","2","5","4","4","5","3","5","3","3","5","4","5","4","5","pass","pass","pass","pass","artifact subagent connector:chat connector:docs","ops product exec","E2","high","三阶段文档共创：上下文收集→分节头脑风暴/筛选/起草/精修→用无上下文子 agent 做读者测试"
